iteration,total_sp,total_count,prod_sp,prod_count,mut_prod_sp,mut_prod_count,herb_sp,herb_count,mut_sp,mut_count,prim_pred_sp,prim_pred_count,sec_pred_sp,sec_pred_count,shannon_index,shannon_eq,shannon_index_prods,shannon_eq_prods,shannon_index_herbs,shannon_eq_herbs,shannon_index_interm,shannon_eq_interm,shannon_index_top,shannon_eq_top
2021,60,39673,11,8149,5,6961,8,4606,8,7693,23,9643,5,2621,4.087244810760137,0.6919452366019445,2.348469424034311,0.5871173560085777,1.718715518943808,0.429678879735952,3.032083180410511,0.6702866479700971,1.7228771067483568,0.7420027823178281
2022,60,39668,11,8151,5,6919,8,4635,8,7687,23,9646,5,2630,4.088777978708097,0.692204792441543,2.3456411479270196,0.5864102869817549,1.7236078539522615,0.43090196348806536,3.0359172034209694,0.6711342152296379,1.7194994775528625,0.7405481166014645
2023,60,39722,11,8165,5,6929,8,4632,8,7688,23,9675,5,2633,4.090493120215068,0.6924951552778288,2.3448186143802285,0.5862046535950571,1.7193345543847087,0.4298336385961772,3.0480398821700354,0.6738141119276004,1.715568130298369,0.7388549774973079
2024,60,39815,11,8172,5,6947,8,4601,8,7756,23,9710,5,2629,4.091987230611075,0.6927480989157417,2.343546367215467,0.5858865918038667,1.7204999971811377,0.4301249992952844,3.0555320088994367,0.6754703568960969,1.714403213125262,0.7383532749787536
2025,60,39735,11,8179,5,6930,8,4581,8,7723,23,9700,5,2622,4.095256248766682,0.693301523446414,2.344708706858796,0.586177176714699,1.7195682766414881,0.42989206916037204,3.0668047054791874,0.677962352515756,1.7127173781389462,0.7376272253693674
2026,60,39741,11,8189,5,6938,8,4564,8,7727,23,9701,5,2622,4.097289687615086,0.6936457720515796,2.3431472726964766,0.5857868181741192,1.720911340531979,0.43022783513299473,3.0765160398650906,0.680109186024447,1.7089930832159386,0.7360232588506762
2027,60,39730,11,8196,5,6909,8,4576,8,7728,23,9694,5,2627,4.0981029712169965,0.6937834559292048,2.3467305622883834,0.5866826405720958,1.7222090329645698,0.43055225824114246,3.0723201010650776,0.6791816119488019,1.710254294517639,0.7365664329930959
2028,60,39717,11,8193,5,6900,8,4588,8,7723,23,9696,5,2617,4.09767076894241,0.6937102867604872,2.3440566889831445,0.5860141722457861,1.7234245053473338,0.43085612633683346,3.075835592140246,0.6799587630322442,1.7056633316545209,0.7345892129089654
2029,60,39762,11,8198,5,6908,8,4584,8,7732,23,9728,5,2612,4.1009672869846945,0.6942683668516836,2.343676187978366,0.5859190469945915,1.7232381574584732,0.4308095393646183,3.0879041780874594,0.6826267017195996,1.7076175788513759,0.7354308613653314
2030,60,39770,11,8214,5,6890,8,4589,8,7758,23,9708,5,2611,4.099921224054835,0.6940912748752998,2.3461322656727344,0.5865330664181836,1.7216071151164214,0.43040177877910535,3.0872333285769256,0.6824784005540467,1.7039813677644333,0.7338648304899787
2031,60,39761,11,8222,5,6849,8,4590,8,7759,23,9736,5,2605,4.101205283535715,0.6943086581940012,2.3463798262581452,0.5865949565645363,1.7195086548498033,0.4298771637124508,3.090668864593909,0.6832378763941828,1.707857669156203,0.7355342626314413
2032,60,39744,11,8226,5,6813,8,4591,8,7776,23,9736,5,2602,4.1034083298103115,0.6946816202861439,2.34707654903555,0.5867691372588875,1.7213490055279514,0.43033725138198786,3.0962689508886485,0.684475857955868,1.7100161392087518,0.7364638650843774
2033,60,39752,11,8229,5,6832,8,4604,8,7797,23,9697,5,2593,4.102428794730693,0.6945157910628388,2.3484849371034704,0.5871212342758676,1.7189638860086998,0.42974097150217494,3.1029348544161377,0.6859494541157622,1.7062583828976543,0.7348454875302354
2034,60,39751,11,8236,5,6862,8,4573,8,7816,23,9672,5,2592,4.102708608856429,0.6945631618616045,2.3474075752212444,0.5868518938053111,1.7226300816590934,0.43065752041477334,3.105682664211451,0.6865568979447638,1.701476725602118,0.7327861398243073
2035,60,39734,11,8255,5,6821,8,4554,8,7823,23,9685,5,2596,4.103481649096732,0.6946940327873126,2.3479566571845436,0.5869891642961359,1.7206582434258637,0.4301645608564659,3.108622922952873,0.6872068854479713,1.6947141765702858,0.7298736684834752
